,DestRaw,Dest,geocoder_results,latlong
72,COLORADO,COLORADO,"<[OK] Google - Geocode [Colorado, USA]>","[39.5500507, -105.7820674]"
73,ANSONIA-CT,"ANSONIA, CT","<[OK] Google - Geocode [Ansonia, CT, USA]>","[41.34620779999999, -73.07899689999999]"
74,SCRANTON PA,"SCRANTON, PA","<[OK] Google - Geocode [Scranton, PA, USA]>","[41.408969, -75.66241219999999]"
75,DETROIT MI,"DETROIT, MI","<[OK] Google - Geocode [Detroit, MI, USA]>","[42.331427, -83.0457538]"
76,PROVVIDENCE,"PROVIDENCE, RI","<[OK] Google - Geocode [Providence, RI, USA]>","[41.8239891, -71.4128343]"
77,NEW YORKLEROY-NY,"NEW YORKLEROY, NY","<[OK] Google - Geocode [Le Roy, NY 14482, USA]>","[42.9783944, -77.9841776]"
78,DELANGE,DELANGE,remove,
79,IRON-MOUNTAIN,IRON-MOUNTAIN,remove,
80,MAFIELD,MAFIELD,remove,
81,PENNSYLVANIA,PENNSYLVANIA,"<[OK] Google - Geocode [Pennsylvania, USA]>","[41.2033216, -77.1945247]"
82,LAURENCE MA,"LAURENCE, MA","<[OK] Google - Geocode [Lawrence, MA, USA]>","[42.7070354, -71.1631137]"
83,FL,FL,"<[OK] Google - Geocode [Florida, USA]>","[27.6648274, -81.5157535]"
84,TRINIDAD-CO,"TRINIDAD, CO","<[OK] Google - Geocode [Trinidad, CO 81082, USA]>","[37.1694632, -104.5005407]"
85,NEWARK NJ,"NEWARK, NJ","<[OK] Google - Geocode [Newark, NJ, USA]>","[40.735657, -74.1723667]"
86,SYRACUSE NY,"SYRACUSE, NY","<[OK] Google - Geocode [Syracuse, NY, USA]>","[43.0481221, -76.14742439999999]"
87,PHILADELPHIA PA.,"PHILADELPHIA, PA","<[OK] Google - Geocode [Philadelphia, PA, USA]>","[39.9525839, -75.1652215]"
88,JERSEY CITY,"JERSEY CITY, NJ","<[OK] Google - Geocode [Jersey City, NJ, USA]>","[40.7177545, -74.0431435]"
89,S.LOUIS,"ST. LOUIS, MO","<[OK] Google - Geocode [St. Louis, MO, USA]>","[38.6270025, -90.19940419999999]"
90,ROCK GLEN WY,"ROCK GLEN, WY","<[OK] Google - Geocode [Rock Glen, NY 14550, USA]>","[42.685895, -78.11889839999999]"
91,ST.LOUIS,"ST. LOUIS, MO","<[OK] Google - Geocode [St. Louis, MO, USA]>","[38.6270025, -90.19940419999999]"
92,NEW-HAVEN,"NEW HAVEN, CT","<[OK] Google - Geocode [New Haven, CT, USA]>","[41.308274, -72.9278835]"
93,ERIE,ERIE,"<[OK] Google - Geocode [Erie, PA, USA]>","[42.12922409999999, -80.085059]"
94,SIRACUSA NY,"SYRACUSE, NY","<[OK] Google - Geocode [Syracuse, NY, USA]>","[43.0481221, -76.14742439999999]"
95,JEFFERSON,"JEFFERSON, NJ","<[OK] Google - Geocode [Jefferson, NJ, USA]>","[41.0029893, -74.5580454]"
96,"BROOKLYN, NY","BROOKLYN, NY","<[OK] Google - Geocode [Brooklyn, NY, USA]>","[40.6781784, -73.9441579]"
97,MIDDLETOWN-CT,"MIDDLETOWN, CT","<[OK] Google - Geocode [Middletown, CT, USA]>","[41.5623209, -72.6506488]"
98,HARTFORD CT,"HARTFORD, CT","<[OK] Google - Geocode [Hartford, CT, USA]>","[41.7658043, -72.6733723]"
99,SAN FRANCISCO CA,"SAN FRANCISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","[37.7749295, -122.4194155]"
100,HOBOKEN NJ,"HOBOKEN, NJ","<[OK] Google - Geocode [Hoboken, NJ, USA]>","[40.7439905, -74.0323626]"
101,OREGON,OREGON,"<[OK] Google - Geocode [Oregon, USA]>","[43.8041334, -120.5542012]"
102,W.HOBOKEN NJ,"W. HOBOKEN, NJ","<[OK] Google - Geocode [225 River St, Hoboken, NJ 07030, USA]>","[40.7393875, -74.0280172]"
103,BROOKLYN-NY,"BROOKLYN, NY","<[OK] Google - Geocode [Brooklyn, NY, USA]>","[40.6781784, -73.9441579]"
104,LEROY,LEROY,"<[OK] Google - Geocode [Le Roy, NY 14482, USA]>","[42.9783944, -77.9841776]"
105,BALTIMORE MD,"BALTIMORE, MD","<[OK] Google - Geocode [Baltimore, MD, USA]>","[39.2903848, -76.6121893]"
106,CHARLESTON,"CHARLESTON, SC","<[OK] Google - Geocode [Charleston, SC, USA]>","[32.7764749, -79.93105120000001]"
107,PLYMONTH MA,"PLYMONTH, MA","<[OK] Google - Geocode [Plymouth, MA, USA]>","[41.9584457, -70.6672621]"
108,NW YORK,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
109,NORRISTOWN PA,"NORRISTOWN, PA","<[OK] Google - Geocode [Norristown, PA, USA]>","[40.121497, -75.3399048]"
110,LONDON,LONDON,remove,
111,ATLANTIC CITY NJ,"ATLANTIC CITY, NJ","<[OK] Google - Geocode [Atlantic City, NJ, USA]>","[39.3642834, -74.4229266]"
112,SIRACUSA,SIRACUSA,remove,
113,ALBANY-NY,"ALBANY, NY","<[OK] Google - Geocode [Albany, NY, USA]>","[42.6525793, -73.7562317]"
114,JOHNSTOWN,JOHNSTOWN,"<[OK] Google - Geocode [Johnstown, PA, USA]>","[40.32674069999999, -78.9219698]"
115,TACOMA WA,"TACOMA, WA","<[OK] Google - Geocode [Tacoma, WA, USA]>","[47.2528768, -122.4442906]"
116,NEW BRITAIN CT,"NEW BRITAIN, CT","<[OK] Google - Geocode [New Britain, CT, USA]>","[41.6612104, -72.7795419]"
117,PATTERSON,PATTERSON,"<[OK] Google - Geocode [Independence, KS 67301, USA]>","[37.09024, -95.712891]"
118,OH,OH,"<[OK] Google - Geocode [Ohio, USA]>","[40.4172871, -82.90712300000001]"
119,CORNIGAN,CORNIGAN,<[ZERO_RESULTS] Google - Geocode [empty]>,
120,BEGGIO,BEGGIO,<[ZERO_RESULTS] Google - Geocode [empty]>,
121,READING,READING,<[OK] Google - Geocode #2 results>,"[51.4542645, -0.9781303]"
122,"MIDDLETON, CT","MIDDLETON, CT","<[OK] Google - Geocode [Middletown, CT, USA]>","[41.5623209, -72.6506488]"
123,OHIO,OHIO,"<[OK] Google - Geocode [Ohio, USA]>","[40.4172871, -82.90712300000001]"
124,KANSAS CITY,KANSAS CITY,"<[OK] Google - Geocode [Kansas City, MO, USA]>","[39.0997265, -94.5785667]"
125,NEW-JERSEY,NEW JERSEY,"<[OK] Google - Geocode [New Jersey, USA]>","[40.0583238, -74.4056612]"
126,DENVER COL.,"DENVER, CO","<[OK] Google - Geocode [Denver, CO, USA]>","[39.7392358, -104.990251]"
127,N.ORLEANS-LA,"NEW ORLEANS, LA","<[OK] Google - Geocode [New Orleans, LA, USA]>","[29.95106579999999, -90.0715323]"
128,"BALTIMORE, MD","BALTIMORE, MD","<[OK] Google - Geocode [Baltimore, MD, USA]>","[39.2903848, -76.6121893]"
129,RICHMOND,RICHMOND,"<[OK] Google - Geocode [Richmond, VA, USA]>","[37.5407246, -77.4360481]"
130,LOUISVILLE,"LOUISVILLE, KY","<[OK] Google - Geocode [Louisville, KY, USA]>","[38.2526647, -85.7584557]"
131,ELISABETH NJ,"ELISABETH, NJ","<[OK] Google - Geocode [Elizabeth, NJ, USA]>","[40.6639916, -74.2107006]"
132,ELIZABETH,ELIZABETH,"<[OK] Google - Geocode [Independence, KS 67301, USA]>","[37.09024, -95.712891]"
133,DETROIT,"DETROIT, MI","<[OK] Google - Geocode [Detroit, MI, USA]>","[42.331427, -83.0457538]"
134,KANSAS-CITY,KANSAS CITY,"<[OK] Google - Geocode [Kansas City, MO, USA]>","[39.0997265, -94.5785667]"
135,AMSTERDAM,AMSTERDAM,"<[OK] Google - Geocode [Amsterdam, Netherlands]>","[52.3679843, 4.9035614]"
136,NEWARK,NEWARK,"<[OK] Google - Geocode [Newark, NJ, USA]>","[40.735657, -74.1723667]"
137,SAN-FRANCISCO-CA,"SAN FRANCISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","[37.7749295, -122.4194155]"
138,S FRANCISCO CAL,"SAN FRANCISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","[37.7749295, -122.4194155]"
139,BRIAN TEXAS,"BRIAN, TEXAS","<[OK] Google - Geocode [Bryan, TX, USA]>","[30.6743643, -96.3699632]"
140,JOUNGSTOWN-PA,"JOUNGSTOWN, PA","<[OK] Google - Geocode [Youngstown, PA 15650, USA]>","[40.2797927, -79.36559129999999]"
141,CLEARFIELD CT,"CLEARFIELD, CT",<[OK] Google - Geocode #10 results>,"[39.54508089999999, -76.5095666]"
142,FLORIDA,FLORIDA,"<[OK] Google - Geocode [Florida, USA]>","[27.6648274, -81.5157535]"
143,ROCHESTER NY,"ROCHESTER, NY","<[OK] Google - Geocode [Rochester, NY, USA]>","[43.15657789999999, -77.6088465]"
144,PITSBURGH,"PITSBURGH, PA","<[OK] Google - Geocode [Pittsburgh, PA, USA]>","[40.44062479999999, -79.9958864]"
145,MURPHYSBORO IL,"MURPHYSBORO, IL","<[OK] Google - Geocode [Murphysboro, IL 62966, USA]>","[37.7644952, -89.3350888]"
146,PITTSBURGH,"PITTSBURGH, PA","<[OK] Google - Geocode [Pittsburgh, PA, USA]>","[40.44062479999999, -79.9958864]"
147,PITTSTON,PITTSTON,"<[OK] Google - Geocode [Pittston, PA, USA]>","[41.3259134, -75.78936039999999]"
148,WESTERLIN,WESTERLIN,"<[OK] Google - Geocode [3026 10th Ave, Rock Island, IL 61201, USA]>","[41.501012, -90.5562829]"
149,LUVELLEW,LUVELLEW,<[ZERO_RESULTS] Google - Geocode [empty]>,
150,HILLYLLE,HILLYLLE,<[ZERO_RESULTS] Google - Geocode [empty]>,
151,PUEBLO CO,"PUEBLO, CO","<[OK] Google - Geocode [Pueblo, CO, USA]>","[38.2544472, -104.6091409]"
152,MIDDLETON CT,"MIDDLETON, CT","<[OK] Google - Geocode [Middletown, CT, USA]>","[41.5623209, -72.6506488]"
153,NEW-HAVEN-CT,"NEW HAVEN, CT","<[OK] Google - Geocode [New Haven, CT, USA]>","[41.308274, -72.9278835]"
154,LASALLE-IL,"LASALLE, IL","<[OK] Google - Geocode [Lasalle, IL, USA]>","[41.3621503, -89.0418249]"
155,WALSTON PA,"WALSTON, PA","<[OK] Google - Geocode [Walston, PA 15781, USA]>","[40.9650644, -78.9947562]"
156,S FRANCISCO CA,"SAN FRANCISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","[37.7749295, -122.4194155]"
157,S.FRANCISCO CA,"SAN FRANCISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","[37.7749295, -122.4194155]"
158,AVON,AVON,"<[OK] Google - Geocode [5625 E 41st St, Tulsa, OK 74135, USA]>","[36.10512, -95.913989]"
159,HAMMONTOWN,HAMMONTOWN,"<[OK] Google - Geocode [Hammonton, NJ, USA]>","[39.6365056, -74.8023853]"
160,BALTIMORA,BALTIMORA,"<[OK] Google - Geocode [Baltimore, MD, USA]>","[39.2903848, -76.6121893]"
161,CINCINNATI,"CINCINNATI, OH","<[OK] Google - Geocode [Cincinnati, OH, USA]>","[39.1031182, -84.5120196]"
162,MEMPHIS,"MEMPHIS, TN","<[OK] Google - Geocode [Memphis, TN, USA]>","[35.1495343, -90.0489801]"
163,ADAM-PA,"ADAM, PA","<[OK] Google - Geocode [9300 W 110th St #470, Overland Park, KS 66210, USA]>","[38.929035, -94.69369400000001]"
164,PORTAGE PA.,"PORTAGE, PA","<[OK] Google - Geocode [Portage, PA, USA]>","[40.3886847, -78.672241]"
165,FRANCISCO,FRANCISCO,"<[OK] Google - Geocode [San Francisco, CA, USA]>","[37.7749295, -122.4194155]"
166,DUNDEE MI,"DUNDEE, MI","<[OK] Google - Geocode [Dundee, MI 48131, USA]>","[41.9572676, -83.6596596]"
167,TAMBA-FL,"TAMPA, FL","<[OK] Google - Geocode [Tampa, FL, USA]>","[27.950575, -82.4571776]"
168,ALTARILLA,ALTARILLA,<[ZERO_RESULTS] Google - Geocode [empty]>,
169,NALSTON-PA,"NALSTON, PA","<[OK] Google - Geocode [584 Springville Rd, New Holland, PA 17557, USA]>","[40.070568, -76.01723989999999]"
170,ELIZABETH NJ,"ELIZABETH, NJ","<[OK] Google - Geocode [Elizabeth, NJ, USA]>","[40.6639916, -74.2107006]"
171,HAMMONTON,HAMMONTON,"<[OK] Google - Geocode [Hammonton, NJ, USA]>","[39.6365056, -74.8023853]"
172,TELLURIDE,TELLURIDE,"<[OK] Google - Geocode [Telluride, CO 81435, USA]>","[37.9374939, -107.8122852]"
173,CLEVELAND,"CLEVELAND, OH","<[OK] Google - Geocode [Cleveland, OH, USA]>","[41.49932, -81.6943605]"
174,LAMFORT,LAMFORT,<[ZERO_RESULTS] Google - Geocode [empty]>,
175,SOLDIER-JEFFERSON,SOLDIER-JEFFERSON,"<[OK] Google - Geocode [W Jefferson Blvd, Los Angeles, CA 90016, USA]>","[34.025458, -118.3355752]"
176,WASHINGTON,WASHINGTON,"<[OK] Google - Geocode [Washington, USA]>","[47.7510741, -120.7401385]"
177,HOBOKEN-NJ,"HOBOKEN, NJ","<[OK] Google - Geocode [Hoboken, NJ, USA]>","[40.7439905, -74.0323626]"
178,TRENTON-PA,"TRENTON, PA","<[OK] Google - Geocode [Trenton, PA 17948, USA]>","[40.8381432, -76.09048849999999]"
179,MARYLAND,MARYLAND,"<[OK] Google - Geocode [Maryland, USA]>","[39.0457549, -76.64127119999999]"
180,TRENTON,TRENTON,"<[OK] Google - Geocode [Trenton, NJ, USA]>","[40.2205824, -74.759717]"
181,FORT WORTH,"FORT WORTH, TX","<[OK] Google - Geocode [Fort Worth, TX, USA]>","[32.7554883, -97.3307658]"
182,MONTREAL CAN,"MONTREAL, CANADA","<[OK] Google - Geocode [Montreal, QC, Canada]>","[45.5016889, -73.567256]"
183,SYRACUSA,SYRACUSA,"<[OK] Google - Geocode [96100 Syracuse, Province of Syracuse, Italy]>","[37.0754739, 15.2865861]"
184,WY,WY,"<[OK] Google - Geocode [Wyoming, USA]>","[43.0759678, -107.2902839]"
185,MI,MI,<[ZERO_RESULTS] Google - Geocode [empty]>,
186,YOUNGSTOWN OH,"YOUNGSTOWN, OH","<[OK] Google - Geocode [Youngstown, OH, USA]>","[41.0997803, -80.6495194]"
187,PLYMOUTH MA,"PLYMOUTH, MA","<[OK] Google - Geocode [Plymouth, MA, USA]>","[41.9584457, -70.6672621]"
188,RANKIN PA,"RANKIN, PA","<[OK] Google - Geocode [Rankin, PA, USA]>","[40.412569, -79.879216]"
189,NEW CASTLE PA,"NEW CASTLE, PA","<[OK] Google - Geocode [New Castle, PA, USA]>","[41.0036719, -80.34700900000001]"
190,BROOCKLYN NY,"BROOKLYN, NY","<[OK] Google - Geocode [Brooklyn, NY, USA]>","[40.6781784, -73.9441579]"
191,WILLIAMPORT PA,"WILLIAMPORT, PA","<[OK] Google - Geocode [Williamsport, PA, USA]>","[41.2411897, -77.00107860000001]"
192,PITTSBURGH-PA,"PITTSBURGH, PA","<[OK] Google - Geocode [Pittsburgh, PA, USA]>","[40.44062479999999, -79.9958864]"
193,HOBOKEN,"HOBOKEN, NJ","<[OK] Google - Geocode [Hoboken, NJ, USA]>","[40.7439905, -74.0323626]"
194,GALLIPOLIS PA,"GALLIPOLIS, PA","<[OK] Google - Geocode [100 Jackson Pike, Gallipolis, OH 45631, USA]>","[38.8467618, -82.23776579999999]"
195,DELANO CA,"DELANO, CA","<[OK] Google - Geocode [Delano, CA, USA]>","[35.7688425, -119.2470536]"
196,TAMPA FL,"TAMPA, FL","<[OK] Google - Geocode [Tampa, FL, USA]>","[27.950575, -82.4571776]"
197,NICOSIA,NICOSIA,"<[OK] Google - Geocode [Nicosia, Cyprus]>","[35.1855659, 33.38227639999999]"
198,ILLINOIS,ILLINOIS,"<[OK] Google - Geocode [Illinois, USA]>","[40.6331249, -89.3985283]"
199,HILLSVILLE,HILLSVILLE,"<[OK] Google - Geocode [Hillsville, VA 24343, USA]>","[36.7626282, -80.7347947]"
200,PLAQUEMINES,PLAQUEMINES,"<[OK] Google - Geocode [Plaquemines Parish, LA, USA]>","[29.3240045, -89.4742177]"
201,MONTANA,MONTANA,"<[OK] Google - Geocode [Montana, USA]>","[46.8796822, -110.3625658]"
202,DELANGEY-PA,"DELANGEY, PA","<[OK] Google - Geocode [626 Water St, Indiana, PA 15701, USA]>","[40.62397, -79.151552]"
203,NOUSTANA,NOUSTANA,<[ZERO_RESULTS] Google - Geocode [empty]>,
204,ELMIRA,"ELMIRA, NY","<[OK] Google - Geocode [Elmira, NY, USA]>","[42.0897965, -76.8077338]"
205,IOHUNSTOWN,IOHUNSTOWN,"<[OK] Google - Geocode [Johnstown, PA, USA]>","[40.32674069999999, -78.9219698]"
206,ELMIRA-NY,"ELMIRA, NY","<[OK] Google - Geocode [Elmira, NY, USA]>","[42.0897965, -76.8077338]"
207,DUMBAR,DUMBAR,<[OK] Google - Geocode #2 results>,"[37.69998, -97.32250769999999]"
208,NEW-LONDON,NEW LONDON,"<[OK] Google - Geocode [New London, CT, USA]>","[41.3556539, -72.0995209]"
209,WESTERLY-RI,"WESTERLY, RI","<[OK] Google - Geocode [Westerly, RI, USA]>","[41.3775987, -71.82728709999999]"
210,SAN JOSE - CA,"SAN JOSE, CA","<[OK] Google - Geocode [San Jose, CA, USA]>","[37.3382082, -121.8863286]"
211,LOS ANGELES,"LOS ANGELES, CA","<[OK] Google - Geocode [Los Angeles, CA, USA]>","[34.0522342, -118.2436849]"
212,S LOUIS MO,"ST. LOUIS, MO","<[OK] Google - Geocode [St. Louis, MO, USA]>","[38.6270025, -90.19940419999999]"
213,S.LOUIS MO,"ST. LOUIS, MO","<[OK] Google - Geocode [St. Louis, MO, USA]>","[38.6270025, -90.19940419999999]"
214,S LOUIS,"ST. LOUIS, MO","<[OK] Google - Geocode [St. Louis, MO, USA]>","[38.6270025, -90.19940419999999]"
215,ST LOUIS MO,"ST. LOUIS, MO","<[OK] Google - Geocode [St. Louis, MO, USA]>","[38.6270025, -90.19940419999999]"
216,NAUSTAN-DIED,NAUSTAN-DIED,<[ZERO_RESULTS] Google - Geocode [empty]>,
217,PATERSON,PATERSON,"<[OK] Google - Geocode [Paterson, NJ, USA]>","[40.9167654, -74.17181099999999]"
218,NORRISTON PA,"NORRISTON, PA","<[OK] Google - Geocode [Norristown, PA, USA]>","[40.121497, -75.3399048]"
