DestRaw,Dest
AMSTERDAM,AMSTERDAM
NEWARK,NEWARK
SAN-FRANCISCO-CA,"SAN FRANCISCO, CA"
S FRANCISCO CAL,"SAN FRANCISCO, CA"
BRIAN TEXAS,"BRIAN, TEXAS"
JOUNGSTOWN-PA,"JOUNGSTOWN, PA"
CLEARFIELD CT,"CLEARFIELD, CT"
FLORIDA,FLORIDA
ROCHESTER NY,"ROCHESTER, NY"
PITSBURGH,"PITSBURGH, PA"
MURPHYSBORO IL,"MURPHYSBORO, IL"
PITTSBURGH,"PITTSBURGH, PA"
PITTSTON,PITTSTON
WESTERLIN,WESTERLIN
LUVELLEW,LUVELLEW
HILLYLLE,HILLYLLE
PUEBLO CO,"PUEBLO, CO"
MIDDLETON CT,"MIDDLETON, CT"
NEW-HAVEN-CT,"NEW HAVEN, CT"
LASALLE-IL,"LASALLE, IL"
WALSTON PA,"WALSTON, PA"
S FRANCISCO CA,"SAN FRANCISCO, CA"
S.FRANCISCO CA,"SAN FRANCISCO, CA"
AVON,AVON
HAMMONTOWN,HAMMONTOWN
BALTIMORA,BALTIMORA
CINCINNATI,"CINCINNATI, OH"
MEMPHIS,"MEMPHIS, TN"
ADAM-PA,"ADAM, PA"
PORTAGE PA.,"PORTAGE, PA"
FRANCISCO,FRANCISCO
DUNDEE MI,"DUNDEE, MI"
TAMBA-FL,"TAMPA, FL"
ALTARILLA,ALTARILLA
NALSTON-PA,"NALSTON, PA"
ELIZABETH NJ,"ELIZABETH, NJ"
HAMMONTON,HAMMONTON
TELLURIDE,TELLURIDE
CLEVELAND,"CLEVELAND, OH"
LAMFORT,LAMFORT
SOLDIER-JEFFERSON,SOLDIER-JEFFERSON
WASHINGTON,WASHINGTON
HOBOKEN-NJ,"HOBOKEN, NJ"
TRENTON-PA,"TRENTON, PA"
MARYLAND,MARYLAND
TRENTON,TRENTON
FORT WORTH,"FORT WORTH, TX"
MONTREAL CAN,"MONTREAL, CANADA"
SYRACUSA,SYRACUSA
WY,WY
MI,MI
YOUNGSTOWN OH,"YOUNGSTOWN, OH"
PLYMOUTH MA,"PLYMOUTH, MA"
RANKIN PA,"RANKIN, PA"
NEW CASTLE PA,"NEW CASTLE, PA"
BROOCKLYN NY,"BROOKLYN, NY"
WILLIAMPORT PA,"WILLIAMPORT, PA"
PITTSBURGH-PA,"PITTSBURGH, PA"
HOBOKEN,"HOBOKEN, NJ"
GALLIPOLIS PA,"GALLIPOLIS, PA"
DELANO CA,"DELANO, CA"
TAMPA FL,"TAMPA, FL"
NICOSIA,NICOSIA
ILLINOIS,ILLINOIS
HILLSVILLE,HILLSVILLE
PLAQUEMINES,PLAQUEMINES
MONTANA,MONTANA
DELANGEY-PA,"DELANGEY, PA"
NOUSTANA,NOUSTANA
ELMIRA,"ELMIRA, NY"
IOHUNSTOWN,IOHUNSTOWN
ELMIRA-NY,"ELMIRA, NY"
DUMBAR,DUMBAR
NEW-LONDON,NEW LONDON
WESTERLY-RI,"WESTERLY, RI"
SAN JOSE - CA,"SAN JOSE, CA"
LOS ANGELES,"LOS ANGELES, CA"
S LOUIS MO,"ST. LOUIS, MO"
S.LOUIS MO,"ST. LOUIS, MO"
S LOUIS,"ST. LOUIS, MO"
ST LOUIS MO,"ST. LOUIS, MO"
NAUSTAN-DIED,NAUSTAN-DIED
PATERSON,PATERSON
NORRISTON PA,"NORRISTON, PA"
NORRISTOPWN-PA,"NORRISTON, PA"
NAUSTAN,NAUSTAN
WILMINGTON,WILMINGTON
GALVESTON,GALVESTON
NJ,NJ
BRIDGEPORT,"BRIDGEPORT, CT"
BRIDGEPORT CT,"BRIDGEPORT, CT"
MILWAUKEE,"MILWAUKEE, WI"
MILFORD MA,"MILFORD, MA"
NICORRI--,NICORRI--
CHARLEROI,CHARLEROI
HOUSTON,"HOUSTON, TX"
NEW YOK,NEW YORK
JOHNGSTON,JOHNGSTON
ATLANTA GA,"ATLANTA, GA"
0,0
MILFORD MAS,"MILFORD, MA"
GREENSBURG-PA,"GREENSBURG, PA"
WALSTON,WALSTON
PITTSBURG-PA,"PITTSBURG, PA"
MIAMISBURG-OH,"MIAMISBURG, OH"
JOHNSTON,JOHNSTON
YOUNGSTOWN,"YOUNGSTOWN, OH"
HILLSVILLE PA,"HILLSVILLE, PA"
LANDVILLE OHIO,"LANDVILLE, OH"
MASSACHUSETTS,MASSACHUSETTS
PATERSON PA,"PATERSON, PA"
WHITE PLAINS NY,"WHITE PLAINS, NY"
WALSTON PA.,"WALSTON, PA"
SAN JOSE CA,"SAN JOSE, CA"
WASINGTON DC,"WASINGTON, DC"
EMILTON-PA,"EMILTON, PA"
HARTFORD,"HARTFORD, CT"
ELIZABETH-NJ,"ELIZABETH, NJ"
DELANGER PA,"DELANGER, PA"
JOHNSTOWN PA,"JOHNSTOWN, PA"
JONGSTON,JONGSTON
SOLDIER-PA,"SOLDIER, PA"
DELAMER-PA,"DELAMER, PA"
SELSVILLE PA,"SELSVILLE, PA"
OSWEGO NY,"OSWEGO, NY"
CARLERON MAS,"CARLERON, MA"
FRISCO-CA,"FRISCO, CA"
PITTSBURGH PA.,"PITTSBURGH, PA"
TRINIDAD,TRINIDAD
MIDLETOWN,MIDLETOWN
HOMOSTEAD PA,"HOMOSTEAD, PA"
S.FRANCISCO,"SAN FRANCISCO, CA"
ALTONA PA,"ALTONA, PA"
DUNKIRK,DUNKIRK
NEWPORT,NEWPORT
WESTERLY,WESTERLY
WESTERLY RI,"WESTERLY, RI"
DENVER CO,"DENVER, CO"
VINELAND,VINELAND
HABOKEN NJ,"HABOKEN, NJ"
GENEVA-NY,"GENEVA, NY"
BRAN,BRAN
BAYON,BAYON
NEW YORK CITY,"NEW YORK, NY"
NEW-OLEANS,"NEW ORLEANS, LA"
WEST-HOBOKEN,"WEST HOBOKEN, NJ"
SAINT LOUIS MN,SAINT LOUIS MN
TOLUCA IL,"TOLUCA, IL"
JERSEY,JERSEY
MILWAKEE WI,"MILWAKEE, WI"
SYRACUSE-NY,"SYRACUSE, NY"
ALBANY,"ALBANY, NY"
DE LANG PA,"DE LANG, PA"
BOSCHIRE,BOSCHIRE
HARTFORT,HARTFORT
OBOCK,OBOCK
BOSTON MAS,"BOSTON, MA"
NEWPORT VA,"NEWPORT, VA"
PROVIDENCE PA,"PROVIDENCE, PA"
NEGAUNEE MI,"NEGAUNEE, MI"
PINXTENN,PINXTENN
S JOSE COL,S JOSE COL
MIDDLETON,MIDDLETON
UTICA NY,"UTICA, NY"
PUEBLO COL,"PUEBLO, CO"
JERSEY-NY,"JERSEY, NY"
SYRACUSA NY,"SYRACUSE, NY"
GLASSGOW NY,"GLASSGOW, NY"
NESQUEHANING PA,"NESQUEHANING, PA"
FREDONIA,FREDONIA
NEW LONDON,NEW LONDON
DASTON OH,"DASTON, OH"
NEW HARVEN CT,"NEW HARVEN, CT"
UTICA,UTICA
JOHNSTOWN-PA,"JOHNSTOWN, PA"
"SUSPENSION BRIDGE,NY","SUSPENSION BRIDGE, NY"
MCKEESPORT,MCKEESPORT
ST JOSE-CA,"SAN JOSE, CA"
ST.JOSE-CA,"SAN JOSE, CA"
NY,NY
WAYNESBURG,WAYNESBURG
CALDWEL NY,"CALDWEL, NY"
GENOA,GENOA
COSSATO,COSSATO
HAZELTON PA,"HAZELTON, PA"
ONDEMICO,ONDEMICO
UTTICA,UTTICA
ALLEGHENY,ALLEGHENY
TAMPA-FL,"TAMPA, FL"
NEW HAVEN,"NEW HAVEN, CT"
MORRISTOWN,MORRISTOWN
BROOKLN N,BROOKLN N
RALSTON NE,"RALSTON, NE"
SAGUANO,SAGUANO
CLEVELAND OH,"CLEVELAND, OH"
"BUFFALO, NY","BUFFALO, NY"
NORFOLK VA.,"NORFOLK, VA"
HESTER-PA,"HESTER, PA"
GALVESTON TX,"GALVESTON, TX"
LUZERNE PA,"LUZERNE, PA"
SOLDIER PA,"SOLDIER, PA"
MOUNT MORRIS IL,"MOUNT MORRIS, IL"
BRYON-TX,"BRYON, TX"
WHITNE PA,WHITNE PA
CHARLESTOWN,CHARLESTOWN
CONNECTICUT,CONNECTICUT
ARON-N,ARON-N
CHARLESON PA,"CHARLESON, PA"
NEW-YORTK,NEW YORK
SUSPENSION NY,"SUSPENSION, NY"
HARDFORT CT,"HARDFORT, CT"
PATERSON NJ,"PATERSON, NJ"
MURPHYSBORO ILL.,"MURPHYSBORO, IL"
NORRISTON,NORRISTON
NESQUEHONING PA,"NESQUEHONING, PA"
TRINIDAD CA.,"TRINIDAD, CA"
PUEBLO COL.,"PUEBLO, CO"
YONIGSTOWN OH,"YONIGSTOWN, OH"
BROKLYN,"BROOKLYN, NY"
"VILLERSVILLE,IL","VILLERSVILLE, IL"
CALIFORNIA CA,CALIFORNIA
SHARON-PA,"SHARON, PA"
ST LOUIS,"ST LOUIS, MO"
ELISABETH,ELISABETH
MOUNT VERNON NY,"MOUNT VERNON, NY"
CANADA,CANADA
MA,MA
NIAGARA-FALLS,NIAGARA FALLS
CONDERSPORT PA,"CONDERSPORT, PA"
OSWEGO-NY,"OSWEGO, NY"
NEW YORK-DIED,NEW YORK
LAWRENCE MA,"LAWRENCE, MA"
SAINT LOUIS MI,"SAINT LOUIS, MI"
MARIAN IL,"MARIAN, IL"
PORTLAND ME,"PORTLAND, ME"
LOUISVILLE K,"LOUISVILLE, KY"
MOUNT-VERNON,MOUNT VERNON
MADISON,MADISON
HAMONTON,HAMONTON
NEW ORNEANS LA,"NEW ORLEANS, LA"
NORRISTOWN-PA,"NORRISTOWN, PA"
CO,CO
WILLIAMSBURG-PA,"WILLIAMSBURG, PA"
NEW-ORLEANS-PA,"NEW ORLEANS, PA"
LYNN-MA,"LYNN, MA"
PORT ALLEGANY PA.,"PORT ALLEGANY, PA"
NIAGARA FALLS,NIAGARA FALLS
TROIA NY,"TROIA, NY"
KANSAS CITY MO,"KANSAS CITY, MO"
MURPHYSBORO,MURPHYSBORO
HAZLETON,HAZLETON
CA,CA
S.FRANCISCO-CA,"SAN FRANCISCO, CA"
SANFRANCISCO,"SAN FRANCISCO, CA"
W CLEVELAND PA,"W CLEVELAND, PA"
NE YORK,NEW YORK
MILWAUKEE WI,"MILWAUKEE, WI"
GERASCO,GERASCO
WINNIPEG CAN,"WINNIPEG, CAN"
BEAUMONT TX,"BEAUMONT, TX"
CAMDEN,"CAMDEN, NJ"
MC-KEESPORT PA,MC-KEESPORT PA
MONT MORIS NY,"MONT MORIS, NY"
PRINCE TOWN PA,"PRINCE TOWN, PA"
BENRID COL,BENRID COL
DETROIT-MI,"DETROIT, MI"
MONTREAL,MONTREAL
JOHUSTOWN,JOHUSTOWN
PATTERSON NJ.,"PATTERSON, NJ"
MASSANSON PA,"MASSANSON, PA"
ROME-NY,"ROME, NY"
COLORADO CO,COLORADO
JOHUNGSTON,JOHUNGSTON
SAINT LOUIS,"SAINT LOUIS, MO"
PHILADEPHIA PA,"PHILADEPHIA, PA"
WATERBURY,WATERBURY
MIDDLETOWN CT,"MIDDLETOWN, CT"
MONROE P,MONROE P
PORTLAND OR,"PORTLAND, OR"
S. FELE,S. FELE
AVON-NY,"AVON, NY"
NEW,NEW
BREYON-TX,"BREYON, TX"
BERVIND-CO,"BERVIND, CO"
LACKAWANNA PA,"LACKAWANNA, PA"
IL,IL
NEW-YORKL,NEW YORK
TRINIDAD COL,TRINIDAD COL
NEW HAVEN CT,"NEW HAVEN, CT"
FRESNO CA,"FRESNO, CA"
NE WYORK,NEW YORK
CLINTON VT.,"CLINTON, VT"
PINX--,PINX--
BROCOLY,BROCOLY
RALSTON,RALSTON
HARRISBURG,HARRISBURG
QUINCY-IL,"QUINCY, IL"
CHARLESTON-PA,"CHARLESTON, PA"
MILWAUKEE WI.,"MILWAUKEE, WI"
"PITTSBURG, PA","PITTSBURG, PA"
COLUMBIA-TX,"COLUMBIA, TX"
PLAQUENI,PLAQUENI
MONONGAHELA,MONONGAHELA
MONROEVILLE,MONROEVILLE
REC-PORT,REC-PORT
BUFFALO MD,"BUFFALO, MD"
TAMPA,"TAMPA, FL"
MALAGA N.M.,"MALAGA, NM"
MICHIGAN,MICHIGAN
S LOUIS MI,S LOUIS MI
ST. LOUIS,"ST. LOUIS, MO"
MIDDLETON CN,MIDDLETON CN
GINLENA,GINLENA
MOUNT VERNON,MOUNT VERNON
AVON NY,"AVON, NY"
LOWESVILLE OH,"LOWESVILLE, OH"
ALBANY NY,"ALBANY, NY"
BUFALO NJ,"BUFALO, NJ"
LAKEVILLE MA,"LAKEVILLE, MA"
HAKLETON PA,"HAKLETON, PA"
C------,C------
GREAT FALLS MT,"GREAT FALLS, MT"
WISCONSIN,WISCONSIN
WALSON,WALSON
LACHARLES,LACHARLES
NAPOLEONVILLE,NAPOLEONVILLE
RICHESTER,RICHESTER
LANDENGSVILLE,LANDENGSVILLE
MONANGAHELA-CITY,MONANGAHELA CITY
CACSAS-C,CACSAS-C
SAN-JOSEPH-CA,"SAN JOSEPH, CA"
ONTARIO,ONTARIO
GUTTENBERG NJ,"GUTTENBERG, NJ"
COUZVILLI,COUZVILLI
WILLIAMSPORT-PA,"WILLIAMSPORT, PA"
ASTORIA,ASTORIA
ASTOTIA-RI,"ASTOTIA, RI"
ONTARIO-CANADA,"ONTARIO, CANADA"
MARYLND,MARYLND
GALVESTON-MA,"GALVESTON, MA"
ELISABETH-NY,"ELISABETH, NY"
ORANGE,ORANGE
GREENSBURG,GREENSBURG
JOHUNSTOWN-PA,"JOHUNSTOWN, PA"
MINIASBURG-OH,"MINIASBURG, OH"
GENESCO,GENESCO
BRYANT-TX,"BRYANT, TX"
TORONTO,TORONTO
JOUDSTON,JOUDSTON
OTTAWA,OTTAWA
BRAYON-TX,"BRAYON, TX"
NEW-JERSEY-MA,"NEW JERSEY, MA"
MONTECLAIR,MONTECLAIR
NAPOLEONVILLA,NAPOLEONVILLA
DAYTON-OH,"DAYTON, OH"
FORESVILLE,FORESVILLE
JOHUNSTOWN,JOHUNSTOWN
PENSACOLA,"PENSACOLA, FL"
NE WYORK CITY,NEW YORK CITY
SAN ANTONIO TX,"SAN ANTONIO, TX"
"BOSTON, MA.","BOSTON, MA"
NEW OREANS,"NEW ORLEANS, LA"
BRANT,BRANT
MONTE MAGGIA,MONTE MAGGIA
OLD-POINT,OLD-POINT
PITTSTON PA.,PITTSTON PA.
NEW ORLEAN,"NEW ORLEANS, LA"
BOSTOPN,"BOSTON, MA"
CHARLESTON-MA,"CHARLESTON, MA"
NORWICH,NORWICH
NEW-YOPRK,NEW YORK
OSURGA NY,"OSURGA, NY"
JOHSTOWN-PA,"JOHSTOWN, PA"
DELANGER,DELANGER
WATERBURG,WATERBURG
NEW JERSEY,NEW JERSEY
NORRISTON-PA,"NORRISTON, PA"
AUSTIN-TX,"AUSTIN, TX"
WAVERLY NY,"WAVERLY, NY"
MC KRESP,MC KRESP
JOUNGSTON,JOUNGSTON
YOUNGSTON,YOUNGSTON
KINGSTON,KINGSTON
HESTER,HESTER
RENOLDSVILLE-PA,"RENOLDSVILLE, PA"
ELEONOR PA,"ELEANOR, PA"
SAN FRANCISCO-CA,"SAN FRANCISCO, CA"
NEW-YOEK,NEW YORK
UTICA-NY,"UTICA, NY"
PINE-BLUFF,PINE BLUFF
ALLEGHENY-PA,"ALLEGHENY, PA"
VANNATON CONN,VANNATON CONN
MIDDELTOWN CT,"MIDDELTOWN, CT"
PITTSTON PA,PITTSTON PA
CINCINATI OH,"CINCINNATI, OH"
REYNOLDSVILLE PA,"REYNOLDSVILLE, PA"
IOLONSTOWN PA,"IOLONSTOWN, PA"
LA,LA
BELLEROSE-PA,"BELLEROSE, PA"
NORRISTOWN NJ,"NORRISTOWN, NJ"
ROCKFORD IL,"ROCKFORD, IL"
ALBAMA,ALABAMA
DONALSO LA,"DONALSO, LA"
VT,VT
OAKLAND CO,"OAKLAND, CO"
HOBOKEN-NY,"HOBOKEN, NY"
DON BOIS PA,"DON BOIS, PA"
APOLLO-PA,"APOLLO, PA"
CALUMET MI,"CALUMET, MI"
MEKERSFORT,MEKERSFORT
IOENELLIS,IOENELLIS
NYW-YORK,NEW YORK
AMSTERDAM-NJ,"AMSTERDAM, NJ"
NORFOLK,NORFOLK
ARLINGTON IL,"ARLINGTON, IL"
SCOTTSDALE PA,"SCOTTSDALE, PA"
CINCINNATI-OH,"CINCINNATI, OH"
MADISON-PA,"MADISON, PA"
NEW LONDON CT,"NEW LONDON, CT"
SILVER BROOK,SILVER BROOK
BESSEMER AL,"BESSEMER, AL"
HOUSTON GA,"HOUSTON, GA"
MONTON NJ,"MONTON, NJ"
NORISTON-PA,"NORISTON, PA"
NORISTON,NORISTON
VALSTON PA,"VALSTON, PA"
HILLSVILLE PA.,"HILLSVILLE, PA"
LOWELLIVILLE OH,"LOWELLIVILLE, OH"
NEW-YORK-DIED,NEW YORK
LEADVILLE CO,"LEADVILLE, CO"
GREENLAND,GREENLAND
INDIA-TER,INDIA-TER
GLAVERTON-PA,"GLAVERTON, PA"
OTTAURI CT,OTTAURI CT
KABSAS-CITY,"KANSAS CITY, MO"
FRANKLIN,FRANKLIN
JOUNSTON PA,"JOUNSTON, PA"
OAKLAND,OAKLAND
WILSTON-MA,"WILSTON, MA"
PITTSBIRG,PITTSBIRG
ELMIRA NY,"ELMIRA, NY"
NEW YOKR,NEW YORK
MOUNT MORRIS NY,"MOUNT MORRIS, NY"
SPRINGFIELD,SPRINGFIELD
BATTENEY-PA,"BATTENEY, PA"
AVON NJ,"AVON, NJ"
SARACUSE,SARACUSE
UTTICA NY,"UTTICA, NY"
S SAGINARO MISH,"S SAGINARO, MI"
WESTERLY-R I,"WESTERLY, RI"
WESTERLY-R.I.,"WESTERLY, RI"
PERTAGA PA,"PERTAGA, PA"
BUFFALO TN,"BUFFALO, TN"
MOUNTE--,MOUNTE--
JOHUSTON-PA,"JOHUSTON, PA"
MOUNT--,MOUNT--
BATAVIA NY,"BATAVIA, NY"
WILLIAMS OH,"WILLIAMS, OH"
S.LUCIA,S.LUCIA
ALTOMONTE,ALTOMONTE
RELA---,RELA---
ROMA,ROMA
MAIFIT PA,"MAIFIT, PA"
MEEKFORT,MEEKFORT
ELENOR-PA,"ELENOR, PA"
JERSEY-CITY,JERSEY CITY
MILIWAKEE WI,"MILIWAKEE, WI"
NIAGRA FALLS,NIAGRA FALLS
NEWARK-NJ,"NEWARK, NJ"
S.JOSE-CA,"SAN JOSE, CA"
IRVINGTON,IRVINGTON
NORD-STO,NORD-STO
WALLSTON,WALLSTON
CARBONDALE-PA,"CARBONDALE, PA"
GENESCO NY,"GENESCO, NY"
DELANEY-PA,"DELANEY, PA"
NWE YORK,NEW YORK
FREDONIA NY,"FREDONIA, NY"
SANJOSE CA,"SAN JOSE, CA"
MORRIS N,MORRIS N
ROME NY,"ROME, NY"
MC KESPORT,MC KESPORT
VILEGRES PA,"VILEGRES, PA"
BANOS-CA,"BANOS, CA"
LOS ANGELES CA,"LOS ANGELES, CA"
ELEONORA-PA,"ELEANORA, PA"
SCRANTON-PA,"SCRANTON, PA"
ROME,ROME
JOHUNSTON-PA,"JOHUNSTON, PA"
JOHUSTOWN-PA,"JOHUSTOWN, PA"
PIZZE,PIZZE
MONROE-PA,"MONROE, PA"
MANROE,MANROE
MONROE,MONROE
NEWORLEANS,"NEW ORLEANS, LA"
S.F. MESSICO,S.F. MESSICO
STANFORT-CT,"STANFORT, CT"
SANDUSCY OH,"SANDUSKY, OH"
ERIE PA,"ERIE, PA"
#NAME?,#NAME?
RELARES PA,"RELARES, PA"
S. SAINT MARIE,S. SAINT MARIE
BRIGHTON-MA,"BRIGHTON, MA"
BRIGHTON,BRIGHTON
"SPRINGFIELD,MA","SPRINGFIELD, MA"
NATCHEZ MISS.,"NATCHEZ, MS"
APPALACHIA VA,"APPALACHIA, VA"
BIRMINGHAM AL,"BIRMINGHAM, AL"
TROY-NY,"TROY, NY"
PROVIDENCE NY,"PROVIDENCE, NY"
NORRISTOWN PA.,"NORRISTOWN, PA"
#NAME?,#NAME?
JERSEY CITY NJ,"JERSEY CITY, NJ"
BETHLEHEM PA,"BETHLEHEM, PA"
MAMARONECK NY,"MAMARONECK, NY"
TORONTO CANADA,"TORONTO, CANADA"
HILLSVILL OH,"HILLSVILL, OH"
ST.LOUIS MO,"ST. LOUIS, MO"
LOUISVILLE-KY,"LOUISVILLE, KY"
ALEGRES-,ALEGRES-
CASALECCHIO,CASALECCHIO
PUEBLO-CO,"PUEBLO, CO"
ELISABET,ELISABET
BATAVIA,BATAVIA
NEW-MEXICO,NEW MEXICO
HATTFORD-CT,"HATTFORD, CT"
BIRMINGHAM,BIRMINGHAM
S.ANTONIO-TX,"SAN ANTONIO, TX"
SALIMANCA,SALIMANCA
HOUSTON TX,"HOUSTON, TX"
ELIZABETH-NY,"ELIZABETH, NY"
OXFORD WY,"OXFORD, WY"
MILTON,MILTON
WESTER PA,"WESTER, PA"
PUNXATAWNEY PA.,"PUNXATAWNEY, PA"
LAURENCE,LAURENCE
BRADFORD PA,"BRADFORD, PA"
GREIGSVILLE,GREIGSVILLE
KENNATECK-IN,"KENNATECK, IN"
PITTSFIELD MA,"PITTSFIELD, MA"
SOUTHAMPTON,SOUTHAMPTON
S. JOSE CA,"SAN JOSE, CA"
GALVESTON-TX,"GALVESTON, TX"
SAN JOSE CA.,"SAN JOSE, CA"
NEW-YOTK,NEW YORK
BROOKLNN,"BROOKLYN, NY"
LAURENCE-MA,"LAURENCE, MA"
LAWRENCE,LAWRENCE
WILLIAMSPORT,WILLIAMSPORT
ROCHESTER-MA,"ROCHESTER, MA"
DALLAS-TX,"DALLAS, TX"
PALMIERI-N,PALMIERI-N
JULIETTE FL,"JULIETTE, FL"
COWANSVILLE,COWANSVILLE
CLEARFIELD-PA,"CLEARFIELD, PA"
LA SALLE IL,"LA SALLE, IL"
BETHLEM-PA,"BETHLEM, PA"
DELANGES-PA,"DELANGES, PA"
WESTFIELD,WESTFIELD
CAMDEM,CAMDEM
TAMPA  FL,"TAMPA, FL"
WAPP. FALLS NY,"WAPP. FALLS, NY"
BENIGIS,BENIGIS
STOCKTON KS,"STOCKTON, KS"
NEW HAVEN CONN.,"NEW HAVEN, CT"
DELAWARE,DELAWARE
JOUSTON-PA,"JOUSTON, PA"
ATTLANTIC CITY,"ATLANTIC CITY, NJ"
VIRGINIA,VIRGINIA
